City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kieta,PG,80.51,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
2,Carnarvon,AU,75.2,few clouds,-24.8667,113.6333,Hospitality Carnarvon
7,Tiarei,PF,84.2,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
11,Ransang,PH,77.04,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
12,Puerto Ayora,EC,86.0,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
14,Rikitea,PF,77.52,broken clouds,-23.1203,-134.9692,Pension Maro'i
18,Hithadhoo,MV,83.3,overcast clouds,-0.6,73.0833,Scoop Guest House
22,Faanui,PF,82.08,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
23,Kapaa,US,75.2,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
25,Ciudad Bolivar,VE,81.19,overcast clouds,8.1222,-63.5497,Hotel Edi
29,Durango,MX,79.92,clear sky,24.8333,-104.8333,Nan
30,Meulaboh,ID,76.51,overcast clouds,4.1363,96.1285,Kost Pria
32,Avarua,CK,84.2,light rain,-21.2078,-159.775,Paradise Inn
36,Fredericksburg,US,75.2,clear sky,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
43,Galesong,ID,77.0,few clouds,-5.3166,119.3661,Sapriadi Appy
45,Saint-Philippe,RE,78.8,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
53,Lorengau,PG,80.31,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
54,Sabang,ID,82.38,overcast clouds,5.8933,95.3214,Hotel Citra
59,Santa Marta,CO,81.7,overcast clouds,11.2408,-74.199,Casa de Isabella
60,Saint-Georges,GD,79.88,scattered clouds,12.0564,-61.7485,Siesta Hotel
69,Yarada,IN,80.37,scattered clouds,17.65,83.2667,Jeevan
71,Descalvado,BR,86.0,clear sky,-21.9039,-47.6194,Hotel Descalvado
73,Orange,US,78.01,broken clouds,33.7,-117.7675,Meadows
76,Vaini,TO,77.0,few clouds,-21.2,-175.2,Keleti Beach Resort
77,Lajas,PR,82.99,broken clouds,18.05,-67.0593,Oasis Parador Hotel
78,Pimentel,PE,84.2,clear sky,-6.8367,-79.9342,Casona Del Muelle
80,Gwadar,PK,79.86,clear sky,25.1216,62.3254,Sadaf Resort
84,Kavaratti,IN,82.04,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
92,Awbari,LY,76.1,clear sky,26.5921,12.7805,فندق أوباري
95,Nhulunbuy,AU,77.0,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
99,Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
101,Bentiu,SS,86.86,few clouds,9.2333,29.8333,Mandela hôtel
102,Auki,SB,81.36,overcast clouds,-8.7676,160.7034,Auki Motel
103,Ugoofaaru,MV,83.95,broken clouds,5.6667,73.0,Ungoofaaru Inn
104,Udon Thani,TH,77.0,overcast clouds,17.3333,102.8333,P.T.K. Apartment
106,Atuona,PF,80.71,broken clouds,-9.8,-139.0333,Villa Enata
107,Cozumel,MX,80.6,few clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
108,La Macarena,CO,82.17,overcast clouds,2.1837,-73.7849,Hotel Punto Verde
110,Georgetown,MY,82.99,few clouds,5.4112,100.3354,Cititel Penang
118,Mandera,KE,82.18,moderate rain,3.9366,41.867,Kornesh Hotel and Lodging
122,Arraial Do Cabo,BR,77.0,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
127,Isangel,VU,77.92,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
128,Hilo,US,75.2,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
133,Saint George,US,86.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
135,Butaritari,KI,82.06,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
139,Karratha,AU,81.25,clear sky,-20.7377,116.8463,ibis Styles Karratha
143,Mulchen,CL,80.87,clear sky,-37.7167,-72.2333,Hotel Los Maitenes de Villalón
146,Souillac,MU,80.01,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
150,Morropon,PE,85.6,light rain,-5.1822,-79.9689,panaderia jeffeson
156,Neiafu,TO,77.0,scattered clouds,-18.65,-173.9833,Mystic Sands
159,Hambantota,LK,77.13,overcast clouds,6.1241,81.1185,Bungalow 63
160,Gamba,GA,78.85,light rain,-2.65,10.0,Nan
161,Saint Anthony,US,77.0,clear sky,45.0205,-93.21799999999999,Holiday Inn Express Roseville-St. Paul
164,Shahdadkot,PK,83.82,scattered clouds,27.8477,67.9055,Malak Hotel shahdadkot
165,Mazamari,PE,81.32,broken clouds,-11.3258,-74.5308,Hospedaje Ratto
167,Tual,ID,83.57,broken clouds,-5.6667,132.75,Grand Vilia Hotel
177,Poum,NC,78.85,broken clouds,-20.2333,164.0167,Gîte kajeon
182,Voh,NC,75.78,broken clouds,-20.9667,164.7,Le gîte du Koniambo
186,Sabha,LY,75.72,scattered clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
188,Harper,LR,79.57,light rain,4.375,-7.7169,Screensaver
190,Aboisso,CI,79.02,light rain,5.4678,-3.2071,Residence Belle Vue
193,Makakilo City,US,75.2,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
194,Kahului,US,75.2,moderate rain,20.8947,-156.47,Maui Seaside Hotel
195,Abu Dhabi,AE,75.2,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
196,Rajapur,IN,80.33,clear sky,25.3833,81.15,B.K. Computer & Janseva Kendra
197,Santa Cruz,BO,82.4,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
